pokedex_number,name,generation,status,species,is_hisuian,is_galarian,is_alolan,is_mega,is_partner,has_form_difference,is_forme_change,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
1,Bulbasaur,1,Normal,Seed Pokémon,0,0,0,0,0,0,0,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45,70,64,Medium Slow,2,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,Ivysaur,1,Normal,Seed Pokémon,0,0,0,0,0,0,0,2,Grass,Poison,1,13,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45,70,142,Medium Slow,2,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Venusaur,1,Normal,Seed Pokémon,0,0,0,0,0,0,0,2,Grass,Poison,2,100,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45,70,236,Medium Slow,2,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Mega Venusaur,1,Normal,Seed Pokémon,0,0,0,1,0,0,0,2,Grass,Poison,2.4,155.5,1,Thick Fat,,,625,80,100,123,122,120,80,45,70,281,Medium Slow,2,Grass,Monster,87.5,20,1,1,0.5,0.5,0.25,1,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,Charmander,1,Normal,Lizard Pokémon,0,0,0,0,0,0,0,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45,70,62,Medium Slow,2,Dragon,Monster,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
5,Charmeleon,1,Normal,Flame Pokémon,0,0,0,0,0,0,0,1,Fire,,1.1,19,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45,70,142,Medium Slow,2,Dragon,Monster,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,Charizard,1,Normal,Flame Pokémon,0,0,0,0,0,0,0,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45,70,240,Medium Slow,2,Dragon,Monster,87.5,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
6,Mega Charizard X,1,Normal,Flame Pokémon,0,0,0,1,0,0,0,2,Fire,Dragon,1.7,110.5,1,Tough Claws,,,634,78,130,111,130,85,100,45,70,285,Medium Slow,2,Dragon,Monster,87.5,20,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
6,Mega Charizard Y,1,Normal,Flame Pokémon,0,0,0,1,0,0,0,2,Fire,Flying,1.7,100.5,1,Drought,,,634,78,104,78,159,115,100,45,70,285,Medium Slow,2,Dragon,Monster,87.5,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
7,Squirtle,1,Normal,Tiny Turtle Pokémon,0,0,0,0,0,0,0,1,Water,,0.5,9,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45,70,63,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
8,Wartortle,1,Normal,Turtle Pokémon,0,0,0,0,0,0,0,1,Water,,1,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Blastoise,1,Normal,Shellfish Pokémon,0,0,0,0,0,0,0,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45,70,239,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Mega Blastoise,1,Normal,Shellfish Pokémon,0,0,0,1,0,0,0,1,Water,,1.6,101.1,1,Mega Launcher,,,630,79,103,120,135,115,78,45,70,284,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
10,Caterpie,1,Normal,Worm Pokémon,0,0,0,0,0,0,0,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255,70,39,Medium Fast,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
11,Metapod,1,Normal,Cocoon Pokémon,0,0,0,0,0,0,0,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120,70,72,Medium Fast,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
